mode,channels,preprocess_ms,npu_trunk_ms,pool_ms,event_ms,e2e_ms
single,1,22.5,285.6,4.4,1.5,314.0
single,2,34.2,286.1,8.7,4.1,333.1
single,4,64.3,286.9,14.4,4.4,370.0
single,7,97.3,288.8,70.5,16.9,473.5
single,8,105.3,313.7,78.7,21.0,518.7
single,12,172.6,317.5,121.6,33.9,645.6
single,16,236.3,346.6,165.3,38.9,787.1
single,28,415.0,378.3,288.7,70.5,1152.5
single,42,610.6,457.7,436.8,101.0,1606.1
single,56,801.8,579.3,584.2,124.4,2089.7
global4,1,24.4,119.0,5.3,1.6,150.3
global4,2,43.2,119.4,8.0,2.3,172.9
global4,4,83.7,120.6,16.7,4.4,225.4
global4,7,119.9,122.9,83.1,20.7,346.6
global4,8,138.8,126.7,85.5,25.2,376.2
global4,12,176.6,129.1,128.4,33.7,467.8
global4,16,232.9,240.4,189.8,42.1,705.2
global4,28,436.0,255.0,305.3,82.9,1079.2
global4,42,668.1,406.1,474.2,108.9,1657.3
global4,56,817.2,524.0,603.2,150.2,2094.6
global8,1,21.2,71.0,5.2,1.9,99.3
global8,2,35.7,71.4,7.1,2.5,116.7
global8,4,71.2,72.4,14.4,4.8,162.8
global8,7,102.9,74.6,74.2,18.2,269.9
global8,8,131.5,140.0,81.7,20.0,373.2
global8,12,163.8,142.0,118.3,30.3,454.4
global8,16,237.3,209.5,163.9,41.0,651.7
global8,28,414.7,286.6,291.3,67.0,1059.6
global8,42,657.6,439.3,443.9,110.8,1651.6
global8,56,830.1,565.2,590.4,124.9,2110.6
