channels,preprocess_ms,infer_ms,total_ms,pre_per_ch_ms,infer_per_ch_ms,infer_img_per_s
1,25.1,284.1,309.1,25.07,284.06,3.5
2,43.1,285.2,328.3,21.55,142.61,7.0
3,54.2,285.3,339.5,18.07,95.09,10.5
4,64.7,285.2,349.9,16.17,71.31,14.0
5,81.4,286.1,367.6,16.29,57.23,17.5
6,95.7,286.0,381.7,15.96,47.67,21.0
7,112.5,287.9,400.3,16.07,41.12,24.3
8,127.5,310.5,438.0,15.93,38.81,25.8
9,143.8,310.5,454.3,15.98,34.5,29.0
10,161.7,310.4,472.0,16.17,31.04,32.2
11,178.1,310.3,488.4,16.19,28.21,35.4
12,198.1,314.5,512.6,16.51,26.21,38.2
13,212.3,314.6,526.9,16.33,24.2,41.3
14,234.0,318.4,552.4,16.71,22.74,44.0
15,238.5,329.5,568.1,15.9,21.97,45.5
16,263.8,331.8,595.6,16.48,20.74,48.2
17,284.7,333.1,617.7,16.74,19.59,51.0
18,301.3,333.3,634.6,16.74,18.52,54.0
19,350.5,337.5,688.0,18.45,17.76,56.3
20,364.8,339.5,704.4,18.24,16.98,58.9
21,392.6,351.6,744.1,18.69,16.74,59.7
22,423.9,358.6,782.4,19.27,16.3,61.4
23,448.1,357.7,805.8,19.48,15.55,64.3
24,467.5,363.7,831.2,19.48,15.15,66.0
25,484.1,362.2,846.3,19.36,14.49,69.0
26,503.4,368.3,871.7,19.36,14.17,70.6
27,518.7,369.4,888.1,19.21,13.68,73.1
28,552.4,376.7,929.1,19.73,13.45,74.3
29,576.1,389.6,965.7,19.87,13.43,74.4
30,607.4,389.1,996.5,20.25,12.97,77.1
31,621.1,390.7,1011.8,20.04,12.6,79.3
32,641.6,397.5,1039.1,20.05,12.42,80.5
33,644.0,402.3,1046.3,19.51,12.19,82.0
34,658.3,397.5,1055.8,19.36,11.69,85.5
35,709.6,403.9,1113.5,20.27,11.54,86.7
36,708.2,426.6,1134.8,19.67,11.85,84.4
37,731.4,426.9,1158.3,19.77,11.54,86.7
38,767.7,427.0,1194.7,20.2,11.24,89.0
39,796.4,427.2,1223.6,20.42,10.95,91.3
40,769.6,429.6,1199.2,19.24,10.74,93.1
41,805.8,431.0,1236.8,19.65,10.51,95.1
42,845.6,437.2,1282.8,20.13,10.41,96.1
43,864.5,470.9,1335.4,20.1,10.95,91.3
44,910.0,472.3,1382.4,20.68,10.74,93.2
45,937.3,472.8,1410.1,20.83,10.51,95.2
46,950.0,473.3,1423.2,20.65,10.29,97.2
47,933.4,477.6,1411.0,19.86,10.16,98.4
48,973.2,479.4,1452.7,20.28,9.99,100.1
49,1001.9,477.4,1479.2,20.45,9.74,102.6
50,998.6,513.5,1512.0,19.97,10.27,97.4
51,545.7,516.1,1061.8,10.7,10.12,98.8
52,919.4,517.2,1436.6,17.68,9.95,100.5
53,1057.4,516.9,1574.3,19.95,9.75,102.5
54,1113.9,520.2,1634.0,20.63,9.63,103.8
55,1046.4,517.2,1563.6,19.03,9.4,106.3
56,1131.2,519.0,1650.2,20.2,9.27,107.9
57,1179.2,784.1,1963.2,20.69,13.76,72.7
58,1194.4,786.1,1980.5,20.59,13.55,73.8
59,1179.1,787.0,1966.1,19.99,13.34,75.0
60,1168.7,789.8,1958.5,19.48,13.16,76.0
61,453.8,791.6,1245.4,7.44,12.98,77.1
62,1115.7,790.6,1906.3,17.99,12.75,78.4
